Podaj rok podziału cesarstwa rzymskiego,;395,;457,;375 p.n.e.,;127,
Podaj inną nazwę Cesarstwa wschodniorzymskiego,;Bizancjum,;Cesarstwo zachodnie,;Babilonia,;Konstantynopol,
Kto stał na czele Cesarstwa wschodniorzymskiego?,;Cesarz,;Kapłan,;Meropolita,;Król,
Kto to był Justynian I Wielki?,;Władca Bizancjum,;Papież,;Król Babilonii,;Budowniczy,
Gdzie leżał Konstantynopol?,;Na styku Europy i Azji,;W Babilonii,;W Afryce,;W Indiach,
Podaj nazwę najsłynniejszej bazyliki w Konstantynopolu,;Hagia Sofia,;Santa Sofija,;Grande Sofija,;Wielka Sofia,
Co to są freski?,;Malowidła na ścianach,;Mozaiki,;Rześby,;Płaskorzeźby,
W jakim wieku przypadały lata świetności Konstantynopola?,;VI w.,;VII w.,;III w. p.n.e.,;VIII w.,
Wybierz charakterystyczne cechy budowli stylu bizantyjskiego,;Kopuły i arkady oraz freski,;Sklepienia gotyckie i wysokie wieże,;Rozbudowane ołtarze i ciemne ściany,;Łuki triumfalne i kolosea,
Co to jest Kodeks Justynianina?,;Zbiór zasad prawnych,;Uprawnienia dla kupców,;Pozwolenie na busowę świątyni,;Zbiór dat historycznych Bizancjum,
Jakim językiem posługiwali się Bizantyjczycy?,;Greckim,;Łacińskim,;Starocerkiewnosłowiańskim,;Włoskim,
W którym roku było zdobycie Konstantynopola?,;1453,;395,;527,;565,
Kto zdobył Konstantynopol?,;Turcy,;Tatarzy,;Mongołowie,;Krzyżacy,
Podaj skutki upadku Konstantynopola,;Śmierć cesarza i upadek Bizancjum,;Początek walki o tron w Rzymie,;Upadek Turcji,;Przejście cesarza na stronę turecką,
Podaj przyczynę zdobycia Konstantynopola,;Osłabienie wewnętrzne Bizancjum, ;Ucieczka cesarza,;Zdrada bogatych kupców,;Sprzymierzenie się Turków z Rosją,
Podaj rok ucieczki Mahometa z Mekki,;622,;800,;357,;457,
Kim ogłosił się Mahomet?,;Prorokiem,;Bogiem,;Cesarzem,;Królem,
Do jakiej miejscowości uciekła Mahomet?,;Do Medyny,;Do Mekki,;Do Konstantynopola,;Do Babilonu,
Co oznacza słowo Allach po arabsku?,;Bóg,;Król,;Cesarz,;Wybawca,
Jak nazywają się wyznawcy islamu?,;Muzułmanie,;Chrześcijanie,;Prawowiercy,;Poganie,
Od jakiego wydarzenia wyznawcy islamu liczą lata?,;Od roku 622,;Od roku narodzin Chrystusa,;Od 457 roku,;Od roku pojawienia się Mahometa,
